# Time;running vehicles [#];avg. speed [m/s];avg. trip speed [m/s]
7.00;15.00;9.17;0.00
8.00;15.00;9.68;0.00
9.00;16.00;9.47;0.00
10.00;19.00;8.34;0.00
11.00;19.00;8.90;0.00
12.00;20.00;8.69;0.00
13.00;21.00;8.22;0.00
14.00;21.00;8.78;0.00
15.00;22.00;8.73;0.00
16.00;22.00;8.83;0.00
17.00;23.00;8.05;0.00
18.00;24.00;8.13;0.00
19.00;25.00;8.49;0.00
20.00;25.00;9.06;0.00
21.00;25.00;9.74;0.00
22.00;25.00;10.37;0.00
23.00;26.00;10.31;0.00
24.00;26.00;11.09;0.00
25.00;26.00;11.11;0.00
26.00;27.00;10.54;0.00
27.00;26.00;10.17;6.14
28.00;27.00;9.47;6.14
29.00;27.00;9.82;6.14
30.00;28.00;9.56;6.14
31.00;28.00;9.94;6.14
32.00;29.00;9.57;6.14
33.00;30.00;9.48;6.14
34.00;30.00;10.14;6.14
35.00;30.00;10.67;6.14
36.00;32.00;10.25;6.14
37.00;31.00;10.94;6.90
38.00;31.00;11.51;6.90
39.00;32.00;11.32;6.90
40.00;32.00;11.91;6.90
41.00;32.00;12.50;6.90
42.00;33.00;12.29;6.90
43.00;33.00;12.45;6.90
44.00;33.00;12.21;6.90
45.00;34.00;12.03;6.90
46.00;34.00;11.30;9.49
47.00;35.00;10.87;9.49
48.00;36.00;10.36;9.49
49.00;35.00;9.90;9.87
50.00;35.00;10.16;9.87
51.00;35.00;10.25;9.87
52.00;35.00;10.36;9.87
53.00;35.00;10.76;9.87
54.00;35.00;10.99;9.87
55.00;35.00;11.28;9.87
56.00;35.00;11.28;9.87
57.00;37.00;10.45;9.87
58.00;37.00;10.43;9.87
59.00;37.00;10.39;9.87
60.00;37.00;10.47;9.87
61.00;37.00;10.12;9.87
62.00;38.00;9.53;9.87
63.00;39.00;8.92;10.29
64.00;39.00;9.29;10.29
65.00;40.00;9.82;10.29
66.00;40.00;10.47;10.29
67.00;39.00;10.79;10.61
68.00;39.00;10.96;10.61
69.00;39.00;10.82;10.29
70.00;41.00;10.49;10.29
71.00;41.00;10.98;10.29
72.00;41.00;10.97;10.29
73.00;41.00;11.48;10.29
74.00;41.00;11.83;10.29
75.00;40.00;11.94;10.95
76.00;39.00;11.45;10.84
77.00;39.00;11.45;10.84
78.00;39.00;11.24;10.84
79.00;39.00;11.17;10.84
80.00;39.00;10.84;10.84
81.00;39.00;10.56;10.84
82.00;39.00;10.46;10.84
83.00;39.00;10.60;10.84
84.00;40.00;10.23;10.84
85.00;41.00;10.17;10.84
86.00;40.00;10.33;10.52
87.00;41.00;10.70;10.52
88.00;41.00;11.02;10.52
89.00;41.00;11.49;10.52
90.00;43.00;11.25;10.52
91.00;43.00;11.42;10.52
92.00;43.00;11.37;10.52
93.00;42.00;11.34;10.25
94.00;42.00;11.01;10.10
95.00;43.00;11.12;10.10
96.00;45.00;11.02;10.10
97.00;45.00;11.06;10.10
98.00;45.00;11.04;10.10
99.00;45.00;10.93;10.10
100.00;45.00;10.84;10.10
101.00;45.00;11.12;10.10
102.00;45.00;11.15;10.10
103.00;45.00;11.04;10.10
104.00;45.00;10.83;10.10
105.00;45.00;10.51;10.10
106.00;45.00;10.03;9.88
107.00;45.00;10.29;9.88
108.00;44.00;10.31;9.94
109.00;44.00;10.26;9.94
110.00;44.00;9.89;9.94
111.00;44.00;9.88;9.94
112.00;45.00;9.95;9.94
113.00;45.00;10.18;9.94
114.00;45.00;10.73;9.94
115.00;45.00;11.07;9.94
116.00;45.00;11.22;9.94
117.00;46.00;11.04;9.94
118.00;46.00;10.82;9.94
119.00;46.00;10.77;9.94
120.00;46.00;10.70;9.94
121.00;46.00;10.39;10.10
122.00;46.00;10.71;10.10
123.00;46.00;10.95;10.10
124.00;45.00;10.67;10.10
125.00;44.00;10.87;10.18
126.00;47.00;10.52;10.18
127.00;47.00;11.02;10.18
128.00;47.00;11.19;10.18
129.00;47.00;11.33;10.18
130.00;47.00;11.09;10.18
131.00;48.00;10.76;10.18
132.00;48.00;10.69;10.18
133.00;48.00;10.82;10.18
134.00;49.00;10.75;10.18
135.00;48.00;10.84;10.30
136.00;48.00;10.91;10.30
137.00;48.00;10.88;10.30
138.00;48.00;10.88;10.30
139.00;48.00;10.63;10.30
140.00;50.00;10.47;10.30
141.00;49.00;10.51;10.34
142.00;50.00;10.05;10.34
143.00;50.00;10.12;10.34
144.00;51.00;9.80;10.34
145.00;51.00;9.34;10.42
146.00;51.00;9.61;10.42
147.00;52.00;9.61;10.42
148.00;53.00;9.63;10.42
149.00;52.00;9.45;10.51
150.00;52.00;9.67;10.51
151.00;53.00;9.57;10.51
152.00;54.00;9.46;10.51
153.00;53.00;9.77;10.41
154.00;53.00;10.27;10.41
155.00;53.00;10.72;10.41
156.00;53.00;11.00;10.41
157.00;53.00;11.00;10.41
158.00;54.00;10.64;10.41
159.00;54.00;10.54;10.41
160.00;54.00;10.70;10.41
161.00;55.00;10.46;10.41
162.00;55.00;10.48;10.41
163.00;56.00;10.41;10.41
164.00;57.00;10.27;10.41
165.00;57.00;10.68;10.41
166.00;57.00;10.94;10.41
167.00;59.00;10.59;10.41
168.00;59.00;10.65;10.41
169.00;59.00;10.70;10.41
170.00;59.00;10.77;10.41
171.00;59.00;10.89;10.41
172.00;59.00;11.14;10.41
173.00;58.00;11.36;10.38
174.00;59.00;11.01;10.38
175.00;60.00;10.83;10.38
176.00;59.00;11.11;10.19
177.00;59.00;11.27;10.19
178.00;58.00;11.51;10.07
179.00;59.00;11.09;10.07
180.00;59.00;10.95;10.07
181.00;59.00;10.60;10.07
182.00;58.00;10.53;10.36
183.00;59.00;10.55;10.36
184.00;59.00;10.90;10.36
185.00;60.00;10.52;10.36
186.00;59.00;10.71;10.35
187.00;59.00;10.78;10.35
188.00;57.00;11.07;10.55
189.00;57.00;10.97;10.55
190.00;59.00;10.74;10.55
191.00;59.00;10.68;10.55
192.00;59.00;10.66;10.55
193.00;58.00;10.51;10.56
194.00;57.00;10.73;10.61
195.00;56.00;10.96;10.79
196.00;55.00;10.85;10.76
197.00;55.00;10.60;10.93
198.00;55.00;10.56;10.93
199.00;55.00;10.66;10.93
200.00;55.00;10.67;10.93
201.00;56.00;10.75;10.93
202.00;56.00;10.98;10.93
203.00;54.00;10.89;10.97
204.00;54.00;11.17;10.97
205.00;54.00;11.27;10.97
206.00;55.00;11.11;10.97
207.00;55.00;11.01;10.97
208.00;56.00;10.85;10.97
209.00;56.00;11.24;10.97
210.00;56.00;11.37;10.97
211.00;56.00;11.35;10.97
212.00;56.00;11.18;10.97
213.00;56.00;10.51;10.92
214.00;56.00;10.33;10.92
215.00;56.00;10.27;10.92
216.00;57.00;10.25;10.92
217.00;57.00;10.19;10.92
218.00;58.00;9.75;10.94
219.00;58.00;9.67;10.94
220.00;58.00;9.97;10.94
221.00;58.00;10.21;10.94
222.00;59.00;10.31;10.85
223.00;57.00;10.44;10.85
224.00;57.00;10.16;10.83
225.00;55.00;10.48;10.93
226.00;56.00;10.37;10.93
227.00;55.00;10.49;11.01
228.00;54.00;10.80;11.10
229.00;54.00;11.04;11.10
230.00;54.00;11.25;11.10
231.00;55.00;11.32;11.10
232.00;55.00;11.37;11.00
233.00;55.00;11.54;11.00
234.00;55.00;11.55;11.00
235.00;55.00;11.83;11.00
236.00;56.00;11.75;11.00
237.00;57.00;11.53;11.00
238.00;54.00;11.71;10.98
239.00;54.00;11.65;10.98
